*** Compte-rendu de la simulation *** 
Conditions initiales de la simulation : 
Angle initial = 90degre
Vitesse initial = 2 m/s
Taille tige = 5 m
Masse marteau = 2 kg
Coefficient de frottements = 0.025
Section Eprouvette = 5 cm*cm 
Materiau eprouvette : Bois de châtaignier de resilience : 6.0 J/cm*cm 
L'eprouvette a ete detruite ! 
temps (ms);angleRad;vitesseAngulaire 
30315;-0.37000860628549925;0.20176338510351946
30330;-0.36694505758123896;0.20423658028401956
30345;-0.3638448273538781;0.20668201515739265
30360;-0.36070833548484016;0.20909945793586238
30375;-0.3575360052781887;0.21148868044343302
30390;-0.35432826340614887;0.2138494581359889
30405;-0.35108553985433466;0.2161815701209454
30420;-0.3478082678666879;0.21848479917645017
30435;-0.3444968838901359;0.22075893177013228
30450;-0.34115182751897494;0.2230037580773982
30465;-0.33777354143898586;0.2252190719992725
30480;-0.3343624713712891;0.227404671179782
30495;-0.3309190660159459;0.22956035702288186
30510;-0.3274437769953121;0.23168593470892182
30525;-0.3239370587971523;0.2337812132106517
30540;-0.32039936871752084;0.23584600530876434
30555;-0.3168311668034162;0.23788012760697494
30570;-0.31323291579521667;0.2398834005466355
30585;-0.30960508106890344;0.2418556484208834
30600;-0.3059481305780786;0.24379669938832235
30615;-0.3022625347957851;0.24570638548623566
30630;-0.2985487666561351;0.24758454264332974
30645;-0.294807301495755;0.24943101069200782
30660;-0.29103861699505246;0.2512456333801723
30675;-0.2872431931193141;0.25302825838255544
30690;-0.28342151205964045;0.25477873731157713
30705;-0.2795740581737245;0.25649692572772953
30720;-0.27570131792648217;0.2581826831494876
30735;-0.271803779830541;0.2598358730627449
30750;-0.26788193438659436;0.2614563629297744
30765;-0.2639362740236286;0.26304402419771367
30780;-0.25996729303903;0.26459873230657394
30795;-0.2559754875385784;0.266120366696773
30810;-0.2519613553763355;0.2676088108161914
30825;-0.24792539609443423;0.26906395212675166
30840;-0.24386811086277643;0.2704856821105206
30855;-0.23979000241864643;0.27187389627533454
30870;-0.2356915750062472;0.2732284941599473
30885;-0.2315733343161667;0.27454937933870127
30900;-0.22743578742478088;0.27583645942572094
30915;-0.22327944273360142;0.27708964607863024
30930;-0.21910480990857453;0.27830885500179253
30945;-0.2149123998193384;0.27949400594907475
30960;-0.21070272447844637;0.28064502272613506
30975;-0.20647629698056286;0.2817618331922351
30990;-0.2022336314416392;0.28284436926157674
31005;-0.19797524293807672;0.28389256690416464
31020;-0.1937016474458838;0.28490636614619413
31035;-0.1894133617798343;0.2858857110699659
31050;-0.1851109035326344;0.286830549813328
31065;-0.18079479101410473;0.28774083456864563
31080;-0.17646554319038524;0.28861652158130013
31095;-0.1721236796231695;0.2894575711477172
31110;-0.1677697204089756;0.29026394761292634
31125;-0.1634041861184608;0.29103561936765154
31140;-0.15902759773578679;0.2917725588449351
31155;-0.15464047659804236;0.29247474251629507
31170;-0.1502433443347311;0.29314215088741813
31185;-0.1458367228073303;0.29377476849338846
31200;-0.14142113404892848;0.29437258389345466
31215;-0.13699710020394845;0.2949355896653355
31230;-0.13256514346796247;0.29546378239906623
31245;-0.12812578602760666;0.29595716269038685
31260;-0.12367955000060155;0.2964157351336741
31275;-0.11922695737588526;0.29683950831441847
31290;-0.11476852995386654;0.297228494801248
31305;-0.11030478928680403;0.29758271113750095
31320;-0.1058362566193188;0.29790217783234835
31335;-0.10136345282904675;0.2981869193514692
31350;-0.09688689836743757;0.29843696410727943
31365;-0.0924071132007068;0.29865234444871747
31380;-0.087924616750948;0.2988330966505871
31395;-0.08343992783741108;0.29897926090246113
31410;-0.07895356461795387;0.299090881297147
31425;-0.07446604453067311;0.2991680058187171
31440;-0.06997788423572153;0.29921068633010545
31455;-0.06548959955731742;0.2992189785602737
31470;-0.0610017054259532;0.29919294209094816
31485;-0.05651471582080924;0.29913264034293074
31500;-0.05202914371237945;0.29903814056198613
31515;-0.047545501005314836;0.29890951380430725
31530;-0.0430642984814914;0.2987468349215623
31545;-0.038586045743308525;0.29855018254552546
31560;-0.03411125115722411;0.29831963907229414
31575;-0.029640421797532686;0.29805529064609515
31590;-0.02517406339039244;0.2977572271426831
31605;-0.020712680258107442;0.29742554215233313
31620;-0.016256775263670968;0.2970603329624316
31635;-0.011806849755575964;0.2966617005396669
31650;-0.00736340351289861;0.2962297495118236
31665;-0.002926934690660862;0.2957645881491832
31680;0.0015020602345221495;0.29526632834553407
31695;0.005923086518504057;0.2947350855987938
31710;0.010335651203372766;0.2941709789912473
31725;0.014739263170913817;0.29357413116940334
31740;0.019133433195765916;0.2929446683234734
31755;0.02351767399826304;0.29228272016647505
31770;0.02789150029695751;0.29158841991296464
31785;0.03225442886081852;0.2908619042574007
